CENTRE_COD,HERD_CODE,ANIMAL_COD,MOUTH_LESI,COM_MOUTH,FOOT_LESIO,COM_FOOT
MFA,56,11,0,,1,break in the growth of the hooves
MFA,56,12,1,dotted lesions on RHS of tongue; LHS 1x1cm,0,
MFA,56,13,1,"RHS tip of tongue old lesion 1x1cm, another 3x2cm",0,
MFA,57,1,0,,0,
MFA,57,3,0,,0,
MFA,57,4,0,,0,
MFA,57,5,0,,0,
MFA,57,6,0,,0,
MFA,57,7,0,,1,break in growth of hooves all 4 feet
MFA,57,8,0,,1,break in growth of hooves all 4 feet
MFA,57,9,0,,1,break in growth of hooves all 4 feet
MFA,57,10,0,,0,
MKL,58,1,0,,1,thickening of the interdigital skin all 4 feet
MKL,58,2,0,,0,
MKL,58,3,1,small old lesion LHS 1.5x0.5cm; small old lesion RHS 1x0.5cm,0,
MKL,58,4,0,,1,break in growth of hooves
MKL,58,5,0,,0,
MKL,58,6,0,,1,break in growth of hooves
MKL,58,7,0,,1,break in growth of hooves
MKL,58,8,0,,1,rough interdigital skin
MKL,58,9,0,,0,
MKL,59,1,0,,1,break in growth of hooves
MKL,59,2,0,,1,break in growth of hooves
MKL,59,3,1,old lesion LHS 2.5x2cm,1,break in growth of hooves
MKL,59,4,0,,0,
MKL,59,5,1,old lesion dorsal tongue 2x3cm,0,
MKL,59,6,0,,0,
MKL,59,7,0,,0,
MKL,60,1,0,,1,break in growth of hooves
MKL,60,2,0,,1,break in growth of hooves
MKL,60,3,0,,0,
MKL,60,4,0,,1,break in the groth of 2 hind hooves
MKL,60,5,0,,0,
MKL,60,6,0,,0,
MKL,60,7,0,,1,reak in growth in hooves
MKL,60,8,0,,0,
MKL,60,9,0,,0,
MKL,60,10,0,,0,
MGI,61,1,1,small lesion on tip of tongue 0.5x0.5cm,0,
MGI,61,2,0,,0,
MGI,61,3,0,,0,
MGI,61,4,0,,0,
MGI,61,5,0,,0,
MGI,61,6,0,,0,
MGI,61,7,1,old lesion RHS 0.5x0.5cm,0,
MGI,61,8,0,,0,
MGI,61,9,0,,0,
MGI,61,10,0,,0,
MGI,62,1,0,,0,
MGI,62,2,0,,0,
MGI,62,3,0,,0,
MGI,62,4,1,"old lesion dorsal tongue, 0.5x0.5cm",0,
MGI,62,5,0,,0,
MGI,62,6,0,,0,
MGI,62,7,0,,0,
MGI,62,8,0,,0,
MGI,62,9,1,"old lesion RHS dorsal tongue, 2.5x1.5cm",0,
MGI,62,10,0,,0,
MGI,63,1,0,,0,
MGI,63,2,1,"old lesion RHS dorsal tongue, 4x2cm",0,
MGI,63,3,1,old lesion RHS dorsal tongue 1x1cm,0,
MGI,63,4,0,,0,
MGI,63,5,1,spotted old lesions dorsal tongue RHS,0,
MGI,63,6,0,,0,
MGI,63,7,0,,0,
MGI,63,8,0,,0,
MGI,63,9,0,,0,
MGI,63,10,0,,0,
FKE,64,1,1,"old lesion RHS dorsal tongue, 0.5x0.5cm",0,
FKE,64,2,0,,0,
FKE,64,3,0,,0,
FKE,64,4,0,,0,
FKE,64,5,0,,0,
FKE,64,6,0,,0,
FKE,64,7,0,,0,
FKE,64,8,0,,0,
FKE,64,9,0,,0,
FKE,64,10,0,,0,
FKE,65,1,0,,0,
FKE,65,2,0,,0,
FKE,65,3,0,,0,
FKE,65,4,1,old lesion dorsal tongue 3x4cm,0,
FKE,65,5,1,old lesion LHS dorsal tongue 3x2cm,0,
FKE,65,6,0,,0,
FKE,65,7,0,,0,
FKE,65,8,0,,0,
FKE,65,9,0,,0,
FKE,65,10,0,,0,
FKE,66,1,0,,0,
FKE,66,2,0,,0,
FKE,66,3,0,,0,
FKE,66,4,1,"old epithelising lesion dorsaltongue, 1.5x1.5cm",0,
FKE,66,5,0,,0,
FKE,66,6,0,,0,
FKE,66,7,0,,0,
FKE,66,8,0,,0,
FKE,66,9,0,,0,
FKE,66,10,0,,0,
FKE,67,1,0,,0,
FKE,67,2,0,,0,
FKE,67,3,0,,0,
FKE,67,4,0,,0,
FKE,67,5,0,,0,
FKE,67,6,0,,0,
FKE,67,7,0,,0,
FKE,67,8,0,,0,
FKE,67,9,0,,0,
FKE,67,10,0,,0,
FKE,68,1,0,,0,
FKE,68,2,1,lesion dorsal tongue .5*1cm,0,
FKE,68,3,0,,0,
FKE,68,4,0,,1,break in growth of hoof
FKE,68,5,1,old lesion dorsal tongue 1*1cm,0,
FKE,68,6,0,,0,
FKE,68,7,0,,0,
FKE,68,8,0,,0,
FKE,68,9,0,,0,
FKE,68,10,0,,1,small scab in interdigital space RF &break in growth of hoof
FKE,69,1,0,,0,
FKE,69,2,1,old lesions on dorsal tongue 2.5*3cm &0.5*1.5cm,0,
FKE,69,3,0,,0,
FKE,69,4,0,,1,crack in horn of hoof RF
FKE,69,5,0,,0,
FKE,69,6,0,,0,
FKE,69,7,0,,0,
FKE,69,8,0,,0,
FKE,69,9,0,,0,
FKE,69,10,0,,0,
FWU,70,6,0,,0,
FWU,70,7,0,,1,break in growth of hoof
FWU,70,8,0,,0,
FWU,70,9,0,,0,
FWU,70,10,0,,0,
FWU,70,11,0,,0,
FWU,70,12,0,,0,
FWU,70,13,0,,0,
FWU,70,14,0,,0,
FWU,70,15,0,,0,
FWU,71,1,0,,0,
FWU,71,2,1, lesion on tongue 0.5*0.5cm right side,0,
FWU,71,3,1, lesion on tongue 0.5*0.5cm&2*1.5cm left side,0,
FWU,71,4,0,,0,
FWU,71,5,0,,1,interdigital skin edematous both fore feet
FWU,71,6,0,,0,
FWU,71,7,0,,0,
FWU,71,8,1,healing lesions 1*5cm on dental pad.+lower lip 1*1cm+several small lesions on dental pad,1,fresh wounds in interdigital space all feet
FWU,71,9,1,"lesions on tip of tongue, fresh lesion on rt side of tongue 3*2cm,large lesion on dorsum of tongue4*3cm & on dental pad 5*4cm",1,fresh wounds in interdigital space
FWU,71,10,1,0.5x0.5cm wound dorsal tongue,0,
FDL,73,1,0,,0,
FDL,73,2,0,,0,
FDL,73,3,0,,0,
FDL,73,4,0,,0,
FDL,73,5,0,,0,
FDL,73,6,0,,0,
FDL,73,7,0,,0,
FDL,73,8,0,,0,
FDL,73,9,0,,0,
FDL,73,10,0,,0,
FDL,74,1,0,,0,
FDL,74,2,0,,0,
FDL,74,3,1,old lesion LHS dorsal tongue 1x1cm,0,
FDL,74,4,0,,0,
FDL,74,5,0,,0,
FDL,74,6,0,,0,
FDL,74,7,0,,0,
FDL,74,8,0,,0,
FDL,74,9,1,"multiple old lesions on dorsal tongue, 1x1cm",0,
FDL,74,10,1,"old lesion LHS dorsal tongue; 1.5x1cm, 1x1cm",0,
VMM,75,1,1,"small old lesion RHS dorsal tongue, 1x1cm",0,
VMM,75,2,0,,0,
VMM,75,3,0,,0,
VMM,75,4,1,"old lesion caudal dorsal tongue, ?x?cm",0,
VMM,75,5,0,,0,
VMM,75,6,0,,0,
VMM,75,7,0,,0,
VMM,75,8,0,,0,
VMM,75,9,1,"old lesion LHS dorsal tongue, 2x1.5cm",0,
VMM,75,10,0,,0,
VMM,76,1,0,,0,
VMM,76,2,1,"old lesion dorsal tongue, 3x2cm; 2x1cm",0,
VMM,76,3,0,,0,
VMM,76,4,1,"large old lesion doesal tongue, 4x3cm",0,
VMM,76,5,0,,0,
VMM,76,6,0,,0,
VMM,76,7,0,,1,interdigital skin on front feet slightly 'puffy'/edematous
VMM,76,8,0,,0,
VMM,76,9,0,,0,
VMM,76,10,0,,0,
FDL,77,1,1,"old lesion dorsal tongue, 3x2cm",0,
FDL,77,2,0,,0,
FDL,77,3,0,,0,
FDL,77,4,0,,0,
FDL,77,5,1,"old lesion, small, dorsal tongue 1x0.5cm",0,
FDL,77,6,0,,0,
FDL,77,7,0,,0,
FDL,77,8,0,,0,
FDL,77,9,0,,0,
FDL,77,10,0,,0,
FGL,78,7,0,,0,
FGL,78,8,0,,0,
FGL,78,9,1,old lesion 4x3cm RHS of dorsal tongue,0,
FGL,78,10,0,,0,
FGL,78,11,0,,0,
FGL,78,12,0,,0,
FGL,78,13,0,,0,
FGL,78,14,0,,0,
FGL,78,15,0,,0,
FGL,79,1,1,"old lesion RHS dorsal tongue, 2x4cm",0,
FGL,79,2,0,,0,
FGL,79,3,1,"old lesion RHS dorsal tongue, 0.5x0.5cm",0,
FGL,79,4,0,,0,
FGL,79,5,0,,0,
FGL,79,6,0,,0,
FGL,79,7,1,"old wound, 1x1cm dorsal tongue",0,
FGL,79,8,0,,1,"break in growth of hooves, and LF interdigital skin thickened/puffy"
FGL,79,9,0,,0,
FGL,79,10,0,,0,
FGL,80,1,0,,0,
FGL,80,2,0,,1,granulating lesions on all 4 feet interdigital skin
FGL,80,3,1,"old lesion dorsal tongue, 0.5x1.5cm. Cut ? 1cm long healing at tip of tongue",1,interdigital skin swollen/puffy all 4 feet
FGL,80,4,0,,0,
FGL,80,5,1,"old lesions on RHS near tip of dorsal tongue, 1x1cm, 1x1.5cm",1,interdigital skin swollen on bothy hind feet
FGL,80,6,0,,1,granulating lesions on interdigital skin of both hind feet
FGL,80,7,0,,1,ruptured lesions with early granulation. Horn of the bulbs of heels under run and sluffing. All 4 feet.
FGL,80,8,1,"deep granulating erosion on dorsal tongue, 1x1cm",1,"RF ruptured vesicle and early granulation, both hind feet have swollen interdigital skin"
FGL,80,9,0,,1,LF granulating lesion interdigital skin
FGL,80,10,0,,0,
VNG,81,1,0,,0,
VNG,81,2,0,,0,
VNG,81,3,0,,0,
VNG,81,4,1,"old lesion 4x3cm on dorsal tongue,  and 1x2cm RHS",0,
VNG,81,5,1,old lesion dorsal tongue 3x2cm,0,
VNG,81,6,0,,0,
VNG,81,7,0,,0,
VNG,81,8,0,,0,
VNG,81,9,0,,0,
VNG,81,10,0,,0,
DDI,82,1,1,old lesions on dorsal tongue 3*1.5cm &2*.5cm,1,Thick interdigital skin on all 4 ft
DDI,82,2,1,old dotted lesions on left side of tongue,1,Thick & rough interdigital skin on 2 hind legs
DDI,82,3,0,,0,
DDI,82,4,0,,1,Thick & rough interdigital skin on 2 HL
DDI,82,5,1,old lesions on dorsal tongue4*3 &3*2CM both on rt side,0,
DDI,82,6,1,rough tongue,0,
DDI,82,7,0,,1,Thick interdigital skin on all 4ft
DDI,82,8,0,,0,
DDI,82,9,0,,1,Thick interdigital skin on all 4ft
DDI,82,10,0,,0,
DDI,83,1,0,,0,
DDI,83,2,0,,0,
DDI,83,3,0,,0,
DDI,83,4,0,,0,
DDI,83,5,0,,0,
DDI,83,6,0,,0,
DDI,83,7,0,,0,
DDI,83,8,0,,0,
DDI,83,9,0,,0,
DDI,83,10,0,,0,
DDI,84,1,0,,0,
DNL,85,1,0,,0,
DNL,85,2,0,,0,
DNL,85,3,1,old lesion on dorsal tongue 1*3cm,0,
DNL,85,4,1,old lesion on dorsal tongue .5*.5cm,1,break in the growth of the hoof
DNL,85,5,0,,0,
DNL,85,6,0,,0,
DNL,85,7,0,,0,
DNL,85,8,0,,0,
DNL,85,9,0,,0,
DNL,85,10,0,,0,
DNL,86,1,1,old lesion dorsal tongue 1x0.5 cm,0,
DNL,86,2,0,,1,interdigital skin thicken on hind 2 feet
DNL,86,3,1,"old lesion LHS dorsal tongue, 3x3cm",0,
DNL,86,4,0,,0,
DNL,86,5,1,"old lesion dorsal tongue, 2x0.5cm",0,
DNL,86,6,0,,0,
DNL,86,7,0,,0,
DNT,87,1,1,old lesion dorsal tongue 2x1cm,0,
DNT,87,2,0,,0,
DNT,87,3,0,,0,
DNT,87,4,0,,1,healing wound on interdigitial skin RF
DNT,87,5,0,,0,
DNT,87,6,0,,0,
DNT,87,7,0,,0,
DNT,87,8,0,,0,
DNT,87,9,0,,0,
DNT,87,10,0,,0,
DNT,88,1,1,"old lesion RHS dorsal tongue, 1x1cm",0,
DNT,88,2,0,,0,
DNT,88,3,0,,0,
DNT,88,4,1,"old lesion RHS dorsal tongue, 2x1cm; LHS 1x0.5cm",0,
DNT,88,5,1,"old lesion RHS dorsal tongue, 3x2cm",0,
DNT,89,1,1,"old lesion LHS dorsal tongue, 1x1cm",0,
DNT,89,2,0,,0,
DNT,89,3,0,,0,
DNT,89,4,0,,0,
DNT,89,5,0,,0,
DNT,89,6,0,,0,
DNT,89,7,0,,0,
DNT,89,8,0,,0,
DNT,89,9,0,,0,
DNT,89,10,0,,0,
DBG,90,1,0,,0,
DBG,90,2,0,,0,
DBG,90,3,0,,0,
DBG,90,4,0,,0,
DBG,90,5,1,"old lesion RHS dorsal tongue, 2x2cm",0,
DBG,90,6,0,,0,
DBG,90,7,0,,0,
DBG,90,8,0,,0,
DBG,90,9,0,,0,
DBG,90,10,0,,0,
DBG,91,1,1,"old lesion dorsal tongue, 5x7cm",0,
DBG,91,2,0,,0,
DBG,91,3,1,"old lesion RHS dorsal tongue, 3x1cm",0,
DBG,91,4,1,old lesion type but multiple small dotted erosions on dorsal tongue,0,
DBG,91,5,0,,0,
DBG,91,6,1,"old wound dorsal tongue, 2x0.5cm, like a healing cut",0,
DBG,91,7,0,,0,
DBG,91,8,0,,0,
DBG,91,9,0,,0,
DBG,91,10,0,,0,
DBG,92,1,1,"small old lesion RHS dorsal tongue, 0.5x0.5cm",0,
DBG,92,2,0,,0,
DBG,92,3,0,,0,
DBG,92,4,1,dorsal surface of tongue generally pitted and roughened,0,
DBG,92,5,1,"old lesion RHS dorsal tongue, 1x1cm",0,
MBA,94,1,0,,0,
MBA,94,2,0,,1,rough interditial skin on all 4 feet
MBA,94,3,1,"old lesion RHS dorsal tongue, 2x1cm",1,rough interditial skin on all 4 feet
MBA,94,4,1,old lesion 4x3cm on dorsal tongue and 1.5x1cm LHS dorsal tongue,1,rough interditial skin on all 4 feet
MBA,94,5,0,,0,
MBA,94,6,1,old lesion LHS dorsal tongue 1.5x1.5cm,0,
MBA,94,7,0,,0,
MBA,94,8,0,,0,
MBA,94,9,1,"old lesion dorsal tongue, 0.5x0.5cm",1,granulating wound RF; healed wound LF
MBA,94,10,0,,0,
MBA,95,1,0,,0,
MBA,95,2,0,,0,
MBA,95,3,0,,0,
MBA,95,4,0,,0,
MBA,95,5,0,,1,healed interdigital wound RH
MBA,95,6,0,,0,
MBA,95,7,0,,0,
MBD,96,1,0,,0,
MBD,96,2,1,"old lesion LHS dorsal tongue, 2x2cm",0,
MBD,96,3,0,,0,
MBD,96,4,0,,0,
MBD,97,1,0,,0,
MBD,97,2,0,,0,
MBD,97,3,0,,0,
MBD,97,4,0,,0,
MBD,97,5,0,,0,
MBD,97,6,0,,1,thicken interigital skin on all 4 feet
MBD,97,7,0,,0,
MBD,97,8,0,,0,
MBD,97,9,0,,0,
MBD,97,10,0,,0,
MKI,98,1,1,"old lesion dorsal tongue, 2.5x0.5cm",1,interdigital skin thickened all 4 feet; both hind feet open lesions on bulb of heel
MKI,98,2,0,,0,
MKI,98,3,0,,1,thickened interdigital skin all 4 feet (comment couldn't read)
MKI,98,4,0,,1,rough interdigital skin all 4 feet
MKI,98,5,1,"old lesion lHS dorsal tongue, 1x0.5cm",1,break in the growth of the hoof and underrun horn on bulbs of heels all 4 feet
MKI,98,6,0,,1,break in growth of hooves all 4 feet
MKI,99,1,0,,0,
MKI,99,2,0,,0,
MKI,99,3,0,,0,
MKI,99,4,0,,1,slightly 'puffy'/edematous interdigital skin both fore feet
MKI,99,5,1,"small spotted lesion dorsal tongue, old lesion dorsal tongue, 1.5x1cm",0,
MKI,99,6,0,,1,slightly edematous skin all 4 feet
MKI,99,7,1,old lesion dorsal tongue 3x2cm,0,
DNL,100,1,0,,1,LH thickened interdigital skin
DNL,100,2,0,,0,
DNL,100,3,1,"cresent shaped cut on dorsal tongue, 3cm long",0,
DNL,100,4,0,,1,roughened interdigital skin on all 4 feet
DNL,100,5,0,,1,roughened interdigital skin on all 4 feet
DNL,100,6,1,"cresent shaped cut on dorsal tongue, 3 cm long",1,rough interdigital skin both hind feet
DNL,100,7,1,"RHS dorsal tongue old lesion, 0.5x0.5cm",0,
DNL,100,8,1,"cresent shaped cut dorsal tongue, 2.5cm long",1,roughened interdigital skin on both hind feet
DNT,101,1,0,,0,
DNT,101,2,1,"old lesion dorsal tongue RHS, 1x1.5cm; LHS, 1x00.5cm",0,
DNT,101,3,1,"old lesion LHS dorsal tongue, 3x1cm",1,rougened interdigital skin on both fore feet
DNT,101,4,0,,0,
DNT,101,5,0,,0,
DNT,101,6,1,"old lesion dorsal tongue, 1.5x1.5cm",0,
DNT,101,7,0,,0,
DNT,101,8,0,,0,
DNT,101,9,0,,0,
DNT,101,10,0,,0,
DNT,102,1,0,,0,
DNT,102,2,1,"old lesion dorsal tongue, 4x3cm",1,rough interdigital skin on all 4 feet
DNT,102,3,1,"old lesion dorsal tongue, 1x2cm",0,
DNT,102,4,0,,1,interdigital skin 'puffy'/edematous all 4 feet
DNT,102,5,0,,0,
DNT,102,6,0,,0,
DNT,102,7,0,,0,
DNT,102,8,0,,0,
DNT,102,9,0,,0,
DNT,102,10,0,,0,
VNG,103,1,0,,1,interdigital skin swollen/'puffy' on all 4 feet
VNG,103,2,1,"old lesion LHS dorsal tongue, 1x1cm",0,
VNG,103,3,0,,1,rough interdigital skin on all 4 feet
VNG,103,4,0,,1,swollen/'puffy' interdigital skin on all 4 feet
VNG,103,5,0,,0,
VNG,103,6,0,,0,
VNG,103,7,1,"old lesion dorsal tongue, 1x1cm",0,
VNG,103,9,0,,0,
VNG,103,10,0,,0,
VNG,104,1,0,,1,puffy/edematous interdigital skin on all 4 feet
VNG,104,2,0,,0,
VNG,104,3,0,,0,
VNG,104,4,0,,0,
VNG,104,5,1,"old lesion dorsal tongue, 2.5x2.5cm",0,
DTI,105,1,1,"old lesions both sides of dorsal tongue, 2x1cm",1,break in the growth of hooves all 4 feet
DTI,105,2,0,,0,
DTI,105,3,1,"old lesion RHS dorsal tongue, 0.5x0.5cm",0,
DTI,105,4,0,,0,
DTI,105,5,0,,0,cut in RF hoof
DTI,105,6,0,,0,
DTI,105,7,1,"old lesion dorsal tongue, 2xqcm",0,
DTI,105,8,1,"old lesion dorsal tongue RHS, 0.5x0.5cm",1,break in the growth of the hooves all 4 feet
DTI,105,9,1,"old lesion dorsal tongue both sides, 1.5x1.5cm",0,
DTI,105,10,0,,1,break in the growth of the hooves all 4 feet
DTI,106,4,0,,1,"break in the growth of the hooves all 4 feet, rough interdigital skin on 2 hind feet"
DTI,106,5,0,,1,thickened and roughened interdigital skin all 4 feet
DTI,106,7,0,,0,
DTI,106,8,0,,0,
DTI,106,9,1,"old lesion dorsal tongue LHS, 1.5x1.5cm",1,break in growth of hooves all 4 feet
DTI,106,10,0,,1,break in growth of hooves all 4 feet
DTI,106,1,0,,1,break in the growth of the hooves all 4 feet
DTI,106,2,0,,1,break in the growth of the hooves all 4 feet
